QouteText,is_legal
"The method shows clearly that what we believe determines how much we
can do. As Wim points out, “Whether you think you can or you think you can’t,
you are right.” ",0
The true story is that Wim has shown us what we all can do.,0
"We already know some specific things about the method, such as how the breathing method can temporarily change the pH of our blood.",0
"The truly remarkable story here is Wim’s own, as revealed in these pages.",0
I have been following the emerging peer-reviewed research on the Wim Hof Method closely.,0
The trial is expected to be completed this year.,0
"The true story is of one man’s passion, his love for nature, for all living beings, for his family, for humanity, and thus his drive to share what he now knows to hopefully heal sickness.",0
"As someone who loves meditation, I believe it is an especially interesting state from which to observe the mind.",0
The method shows clearly that what we believe determines how much we can do.,0
"The method requires engagement of body and mind, and at least some belief.",0
. Allow yourself to experience the Wim Hof Method in your own body and make your own discoveries.,0
But what if we could reawaken the dormant physiological processes that made our ancestors so strong?,0
"I have employed this method to accomplish feats believed by many to be impossible, setting more than two dozen Guinness World Records and confounding medical professionals in the process.",0
"Doing these things has earned me the nickname the Iceman, but I am no superhero.",0
This method is accessible to all.,0
The secret to a lifetime of health and happiness is within your grasp,0
"I will explain the ins and outs of my method, the philosophy that underpins it, and the science that supports it.",0
"It’s all there for you, and there’s no time to waste.",0
It’s where you and I and everyone else began. It’s where all life begins.,0
She felt a strangeness inside of her.,0
"And as she had already delivered four children previously, she knew she was not mistaken.",0
"The doctor went away, and my mother was again left alone in the room to recover.",0
"Yet in those days, women could not work anymore after having children.",0
"Their father raised the kids all by himself, which at that time was quite rare.",0
But then I began to breathe.,0
", I’ve always had a yearning for something else, for something more, something deeper, mystical — something strange.",0
", I’ve always had a yearning for something else, for something more, something deeper, mystical — something strange.",0
And this rosy feeling came over me and made me just sit down in the snow.,0
But I had been out there so long that they became worried.,0
"So they picked me up out of the snow and took me home, and it was actually quite terrible getting back because I was hypothermic.",0
"I went to school, and on my way home, I decided that I wanted to sit down.",0
"I woke up in the hospital, and they kept me there for observation for a week.",0
"And despite the very real danger they both posed, they were actually quite nice.",0
"The fellow who had poured the bottle over me harbored no malicious intent, I don’t believe.",0
"He was just being mischievous, but at the same time imposing his will over me by saying, in effect, “I’m eight years old and much bigger than you, and look what I can do to you.",0
"And when I did, I spent the next two nights vomiting green before my parents finally took me to the hospital.",0
"In that, I suppose these episodes were harbingers of what was to come.",0
"We’d tie them to each other, hang them over the branches, and then swing from one tree to another making Tarzan’s jungle call as loudly as we could because we were the apes.",0
To this day I believe those potatoes were the best food I’ve ever eaten.,0
I think nowadays many children miss out on that.,0
"This, of course, was because of my mother, who was a devout Catholic.",0
And there was no escaping from a mother like that.,0
"On Saturdays I could go into the woods, get myself dirty, do my Tarzan shout at the top of my lungs.",0
A forest is like a wonderland for a child with a creative imagination.,0
Live animals were being delivered by trucks and being killed.,0
"The more I thought about it, the more determined I became to decrease the amount of meat I consumed each day.",0
"When it came to history, language, mathematics, science, and all, my grades were just average.",0
"My instincts and intuition were leading me in a different direction, and that’s because of my mother.",0
"I delivered newspapers, both Algemeen Dagblad and De Telegraaf, in the early morning hours.",0
"I delivered newspapers, both Algemeen Dagblad and De Telegraaf, in the early morning hours.",0
"I don’t know what it was about those old bikes, really, but they got to me.",0
"All those mornings delivering newspapers on those hills no matter the weather made me stronger, and not just physically.",0
"Every day for five years, I woke up at 3:30 a.m.",0
"Then I’d go out into the night with these packs full of newspapers, up and down the hills of Sittard.",0
It was just me and my bicycle and the newspapers alone in the hills.,0
You begin to contemplate; you see the world in peace without the rumor of anything or anybody.,0
You begin to contemplate; you see the world in peace without the rumor of anything or anybody.,0
I remember snow and very cold temperatures.,0
". We have mostly lost this connection today, this deep sense, and thus, many of us aren’t able to incorporate its values into our everyday life.",0
"More than forty years later, I can still taste those fruits, smell the sweetness of that air.",0
"You radiate an electromagnetic field, and that’s the corona.",0
So comport yourself as a king or a queen and stand proudly in your corona because that’s who you are inside.,0
"I didn’t know it, but I was looking for exactly that back then.",0
My mother’s invocation really was the redline of my history.,0
"There was much unseen, and I yearned desperately to see it.",0
Meeting people who were more exuberant and open liberated my mind.,0
"It’s amazing what can happen within your core if you get there, if you meet the light within yourself. You just know it.",0
"Near the border of France and Spain, in the Pyrenees, Andre and I met a man named Wolfgang.",0
"The lion saw him and probably also the reflection of the sun on his bike or something, and it ran away.",0
The other thing I remember about Wolfgang is that he listened intently to everything I had to say.,0
He could sense that I was searching for something within the depth of myself without fully knowing what it was and that he could learn from me.,0
"There was no fear. He just knew. And I didn’t, at least not yet. I was just there.",0
This was a monumental epiphany for me.,0
"Too often we mistake this knowledge for dreams or, worse, folly.",0
"Andre would listen in sometimes, but most of the time, he stayed about a quarter mile in front of us.",0
"I realized that we all have this sacred spot within us, and it became my aim to access it.",0
"And for the three weeks that followed, I remained in that transcendent state of being.",0
That time represented a period of true freedom for me because there were absolutely no rules.,0
About a hundred people lived together in peaceful coexistence and creative abundance.,0
"So we had a lot of art over there, a lot of music.",0
"You retreat from society because you want to free your own mind, but first you have to learn to let it go.",0
"I felt an attraction to it that I couldn’t quite explain, but I looked around, and there was nobody else in sight.",0
That curiosity was much stronger than the temperature of the water.,0
"You could die, they said. It’s no good! It’s an adverse element of nature, and we have to protect ourselves from it!",0
Now we can understand that the strength of my curiosity being greater than the cold of the water was a demonstration of the human mind’s immense power.,0
"Thus, our minds are not able to transcend the impact of extreme forces on our bodies or to accept the truth of mind over matter.",0
But it all began in earnest right there. It was the origin point of my entire quest.,0
"Of course, whenever you feel as good about something as I did about this, you’re bound to come back often.",0
"I was only seventeen, and I felt alive and excited.",0
I felt great because I knew that I was on to something. And I was. The Iceman had been born.,0
"We are beings of light who, by birthright, own our own minds and souls.",0
That consciousness allows you to truly trust your judgment based on intuition and instinct.,0
"My American friend Chris Ryan wrote a book entitled Civilized to Death on these deeper feelings, about how we have become so civilized, so ensconced in our comfort zones, that it has gotten the better of us.",0
"Regardless of if it is warm or hot, our core body temperature has to remain 98.6 degrees Fahrenheit. If your core temperature dips only 2 or 3 degrees below that, you go into hypothermia, a hypothermic state.",0
But what did we do? We got into clothes.,0
These little muscles do not work. And do you know who’s paying for that?,0
"That’s one of the primary reasons, together with diet and exercise, why cardiovascular-related diseases are the number-one killer in our society.",0
"Then, once it’s awakened and optimized, let’s say in ten days, a whole sequence of magic begins to occur within the body.",0
It is therefore understandable why some might be reluctant to willingly submit to that discomfort. It’s unpleasant.,0
"I began intuitively, when I was seventeen years old, to venture into the cold water.",0
I have dedicated my life to this because I have experienced the benefits firsthand.,0
"I just simplified it. We are able, as a society, to confront cardiovascular-related diseases if we can learn, collectively, how to achieve vascular fitness.",0
That translates to a lot less stress. It’s important to understand that your heart rate increases whenever your body experiences stress.,0
"Your heart needs to pump more, work harder.",0
"It all adds up, and the result is that your heart has to pump even more without any way to cool down, to have a rest, because your vascular system is compromised.",0
"You can go and do exercises outdoors in the cold while bare-chested and barefoot, just in shorts.",0
Cold showers are the gateway to flow and energy and peace.,0
"As your vascular system awakens and its muscles begin to tone up, it forges a connection with your brain, with your will.",0
"When prehistoric humans ventured forth out of their caves and into the wild, they had to be strong.",0
"So a prehistoric man knew, when he went out to hunt, that his body would respond accordingly.",0
"The rest of the body can get quite cold, but if the vascular tone is not right, the body doesn’t respond.",0
"If we take cold showers though, we can regain the lost, optimized condition of our vascular tone and in turn become strong.",0
And it’s amazing what kinds of health benefits stem from there.,0
With that comes peace. Deep peace.,0
"Yes, it’s going to give you a lot more energy. Yes, your heart rate will go down.",0
The cold is merciless but righteous. It will show you the way.,0
"The deeper parts of your physiology suddenly open up, which they have to do because the water really is freezing, and it impacts your body powerfully.",0
You can learn to control it by going gradually into the cold and following your feelings.,0
"You have to take a shower anyway, right? So, it’s very simple. Just end up cold.",0
"Because the cold is merciless but righteous, we can learn from it.",0
"Do you want to learn to deal with stress, or do you want to continue suffering? This method is very simple, very accessible, and endorsed by science.",0
"Those parts of modern man’s brain receive less blood flow than those of our prehistoric ancestors, and while those deeper parts survive, they don’t flourish.",0
"A cold shower a day, that’s the one. That’s the ticket to this ride.",0
The idea was to monitor brain activity and measure differences in the subjects’ skin temperature relative to each exposure.,0
That is the paradigm. I call it “the disconnection” because we do not know the power of our minds.,0
"By employing a deep breathing technique that effectively activated my intercostal muscles (those located between the ribs), I was able to generate enough heat on the first day to maintain my core body temperature.",0
I was instructed to participate passively.,0
"So that morning, I was sitting in my hotel room, looking out my window over Detroit, and thinking, How do I show it?",0
What did you do in the icy waters beyond the Polar Circle? What did you do always in the cold? You trusted yourself.,0
"Mind and body are in sync. After all these years, this was quite an epiphany.",0
Let whatever images and thoughts pass freely and then fall away whilst you are reaching your depth.,0
The method is based on the principle that the power of the mind works in connection with the body to impact human capability in a profound way.,0
"This helps train the muscle of belief, belief in what we are capable of, which allows us to have confidence in our hearts.",0
They had never seen anything like it before.,0
My temperature never changed. That’s the power of the mind when it has been awakened by the cold and the breath.,0
